Complaint_Description,Priority
Blocked drain causing mosquito breeding at Vellayambalam Ward,Medium
Request for anti-larval spraying at Palayam Area,Low
Open sewage causing health risk at Peroorkada Junction,Critical
Water stagnation in vacant plot at Vellayambalam Ward leading to vector issues,Medium
Improper waste disposal increasing disease risk at Karamana Area,High
Request for anti-larval spraying at Nemom Ward,Low
Public complaint about delayed vector control action at Thampanoor Junction,Low
Blocked drain causing mosquito breeding at Nemom Ward,Medium
Improper waste disposal increasing disease risk at Sreekariyam Area,High
Stray dog carcass not cleared from Sreekariyam Area,Medium
Improper waste disposal increasing disease risk at Peroorkada Junction,High
Request for fogging operation in Attakulangara Market Area area due to dengue cases,Critical
Accumulation of waste attracting flies at Peroorkada Junction,Medium
Stray dog carcass not cleared from Sreekariyam Area,Medium
Public complaint about delayed vector control action at Poojappura Road,Low
Uncovered septic tank causing mosquito breeding at Sreekariyam Area,Medium
Water stagnation in vacant plot at Pattom Ward leading to vector issues,Medium
Cockroach infestation reported near Vanchiyoor Ward market area,High
Open sewage causing health risk at Manacaud Area,Critical
Water stagnation in vacant plot at Nemom Ward leading to vector issues,Medium
Blocked drain causing mosquito breeding at Kazhakkoottam Junction,Medium
Request for fogging operation in Attakulangara Market Area area due to dengue cases,Critical
Public complaint about delayed vector control action at Nemom Ward,Low
Open sewage causing health risk at Karamana Area,Critical
Request for anti-larval spraying at Attakulangara Market Area,Low
Water stagnation in vacant plot at Thampanoor Junction leading to vector issues,Medium
Uncovered septic tank causing mosquito breeding at Sreekariyam Area,Medium
Rat infestation noticed in Nemom Ward locality,High
Uncovered septic tank causing mosquito breeding at Poojappura Road,Medium
Open sewage causing health risk at Nemom Ward,Critical
Frequent mosquito nuisance reported in Vellayambalam Ward residential area,Medium
Improper waste disposal increasing disease risk at Sreekariyam Area,High
Public complaint about delayed vector control action at Palayam Area,Low
Open sewage causing health risk at Kowdiar Junction,Critical
Mosquito breeding reported due to stagnant water at Thampanoor Junction,High
Blocked drain causing mosquito breeding at Vanchiyoor Ward,Medium
Rat infestation noticed in Thampanoor Junction locality,High
Cockroach infestation reported near Attakulangara Market Area market area,High
Request for fogging operation in Pattom Ward area due to dengue cases,Critical
Blocked drain causing mosquito breeding at Poojappura Road,Medium
Accumulation of waste attracting flies at Peroorkada Junction,Medium
Request for anti-larval spraying at Sreekariyam Area,Low
Water stagnation in vacant plot at Palayam Area leading to vector issues,Medium
Public complaint about delayed vector control action at Vellayambalam Ward,Low
Frequent mosquito nuisance reported in Pattom Ward residential area,Medium
Stray dog carcass not cleared from Sreekariyam Area,Medium
Stray dog carcass not cleared from East Fort Junction,Medium
Rat infestation noticed in Sreekariyam Area locality,High
Request for anti-larval spraying at Thampanoor Junction,Low
Stray dog carcass not cleared from Vanchiyoor Ward,Medium
Request for fogging operation in Manacaud Area area due to dengue cases,Critical
Mosquito breeding reported due to stagnant water at Nemom Ward,High
Public complaint about delayed vector control action at Poojappura Road,Low
Request for fogging operation in East Fort Junction area due to dengue cases,Critical
Rat infestation noticed in Attakulangara Market Area locality,High
Blocked drain causing mosquito breeding at Thampanoor Junction,Medium
Accumulation of waste attracting flies at Manacaud Area,Medium
Open sewage causing health risk at Vanchiyoor Ward,Critical
Rat infestation noticed in Vanchiyoor Ward locality,High
Request for fogging operation in Vellayambalam Ward area due to dengue cases,Critical
Improper waste disposal increasing disease risk at Vanchiyoor Ward,High
Water stagnation in vacant plot at East Fort Junction leading to vector issues,Medium
Blocked drain causing mosquito breeding at Vellayambalam Ward,Medium
Dead animal not removed promptly from Kowdiar Junction,Medium
Public complaint about delayed vector control action at East Fort Junction,Low
Frequent mosquito nuisance reported in Attakulangara Market Area residential area,Medium
Dead animal not removed promptly from Manacaud Area,Medium
Rat infestation noticed in Kowdiar Junction locality,High
Mosquito breeding reported due to stagnant water at Palayam Area,High
Uncovered septic tank causing mosquito breeding at Palayam Area,Medium
Mosquito breeding reported due to stagnant water at Manacaud Area,High
Water stagnation in vacant plot at Palayam Area leading to vector issues,Medium
Stray dog carcass not cleared from Vellayambalam Ward,Medium
Rat infestation noticed in Nemom Ward locality,High
Frequent mosquito nuisance reported in Peroorkada Junction residential area,Medium
Improper waste disposal increasing disease risk at Vellayambalam Ward,High
Improper waste disposal increasing disease risk at Palayam Area,High
Improper waste disposal increasing disease risk at Palayam Area,High
Mosquito breeding reported due to stagnant water at Poojappura Road,High
Accumulation of waste attracting flies at Peroorkada Junction,Medium
Accumulation of waste attracting flies at Vanchiyoor Ward,Medium
Public complaint about delayed vector control action at Pattom Ward,Low
Frequent mosquito nuisance reported in Vellayambalam Ward residential area,Medium
Cockroach infestation reported near Karamana Area market area,High
Public complaint about delayed vector control action at Vanchiyoor Ward,Low
Improper waste disposal increasing disease risk at Kazhakkoottam Junction,High
Open sewage causing health risk at Kazhakkoottam Junction,Critical
Public complaint about delayed vector control action at Nemom Ward,Low
Rat infestation noticed in Karamana Area locality,High
Open sewage causing health risk at Vanchiyoor Ward,Critical
Mosquito breeding reported due to stagnant water at Pattom Ward,High
Improper waste disposal increasing disease risk at Sreekariyam Area,High
Request for anti-larval spraying at Nemom Ward,Low
Accumulation of waste attracting flies at Pattom Ward,Medium
Blocked drain causing mosquito breeding at Kazhakkoottam Junction,Medium
Improper waste disposal increasing disease risk at Pattom Ward,High
Water stagnation in vacant plot at East Fort Junction leading to vector issues,Medium
Water stagnation in vacant plot at Thampanoor Junction leading to vector issues,Medium
Rat infestation noticed in East Fort Junction locality,High
Stray dog carcass not cleared from Peroorkada Junction,Medium
Blocked drain causing mosquito breeding at Palayam Area,Medium
Accumulation of waste attracting flies at Palayam Area,Medium
Stray dog carcass not cleared from Kowdiar Junction,Medium
Uncovered septic tank causing mosquito breeding at Thampanoor Junction,Medium
Accumulation of waste attracting flies at Thampanoor Junction,Medium
Open sewage causing health risk at Attakulangara Market Area,Critical
